block	gc_mean	gc_std	gc_sem	gc_n	gc_after_mean	gc_after_std	gc_after_sem	gc_after_n	gc_bidir_mean	gc_bidir_std	gc_bidir_sem	gc_bidir_n
0	0.3030688	0.14582793396568436	0.06521623467312414	5	0.2992744	0.14466220772129812	0.0646949060480035	5	0.2332086	0.15655905806691608	0.07001533926619223	5
1	0.26861799999999997	0.11883929964451997	0.05314655048072265	5	0.2640518	0.11850957374701843	0.05299909257657153	5	0.167984	0.13299488913676347	0.05947712255397029	5
2	0.3097766	0.10264576216678407	0.04590458036144106	5	0.30535	0.10227364081961686	0.04573816263581212	5	0.22585800000000003	0.11872488711933989	0.05309538364396663	5
3	0.3756182	0.08917799753975192	0.039881612919238855	5	0.3716731999999999	0.08824299415364369	0.03946346669313276	5	0.3166344	0.09422398331263648	0.042138246359572196	5
4	0.41694059999999994	0.07305899407533613	0.03267297542404119	5	0.41291320000000004	0.07234046102078695	0.03235163767323069	5	0.36611740000000004	0.07818659438676173	0.03496610799560054	5
5	0.45699120000000004	0.0784688292712463	0.035092327273066395	5	0.44960140000000004	0.07640163593994571	0.03416785031078193	5	0.3685242	0.07658801040110652	0.03425119950366702	5
6	0.48886599999999997	0.05325821948769972	0.02381779982702012	5	0.48110240000000004	0.051231708836422786	0.0229115167123436	5	0.40063379999999993	0.04045724018887102	0.018093027848870406	5
7	0.5458208	0.04090547873084974	0.018293486218870367	5	0.5380824	0.03881057214600167	0.017356615512823925	5	0.4690862	0.03155532938665035	0.014111972312189386	5
8	0.5310027999999999	0.027009593734449253	0.012079057526976186	5	0.5259926	0.026472133400993587	0.011838697958812872	5	0.48650959999999993	0.02820569512173029	0.012613970328964625	5
9	0.5425002	0.030016588275485277	0.013423826367321652	5	0.5381524	0.029758162423106735	0.013308254812709303	5	0.5126898	0.03315766954567222	0.014828560615919532	5
10	0.43904139999999997	0.009100022873597628	0.0040696539484334545	5	0.4383488	0.008804534524891144	0.003937507541580082	5	0.4354766	0.007239909619601608	0.003237786012076768	5
11	0.21699220000000002	0.029041665916403624	0.012987827833783445	5	0.21643820000000003	0.02845842694528283	0.012726995436472818	5	0.21498420000000001	0.02676142612418106	0.011968073597701514	5
