block	s_base	s_cross	s_cross_after	s_cross_bidir	gc	gc_after	gc_bidir
0	0.694132	0.177442	0.183386	0.251424	0.516690	0.510746	0.442708
1	0.683104	0.246675	0.251711	0.339410	0.436429	0.431392	0.343693
2	0.671042	0.215422	0.221083	0.302499	0.455620	0.449959	0.368544
3	0.732211	0.218578	0.224715	0.286712	0.513633	0.507496	0.445499
4	0.749998	0.228436	0.234162	0.284064	0.521562	0.515836	0.465934
5	0.729534	0.187976	0.198360	0.286134	0.541559	0.531174	0.443401
6	0.725320	0.150181	0.161360	0.260720	0.575139	0.563960	0.464600
7	0.764516	0.153283	0.164221	0.247587	0.611233	0.600295	0.516929
8	0.803111	0.235114	0.241469	0.284013	0.567997	0.561642	0.519098
9	0.854222	0.275461	0.281043	0.306223	0.578761	0.573180	0.547999
10	0.928018	0.482960	0.483737	0.485731	0.445057	0.444281	0.442287
11	0.971606	0.778157	0.778157	0.778157	0.193448	0.193448	0.193448
